total_accuracy,f1_cry,recall_cry,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info,userInput
0.7769886363636364,0.7759622815659302,0.7772727272727273,cry,276,138,138,46,0.2,5,5,5,40,DecisionTreeClassifier,None,experiment_2_date_2019-08-25
0.7957386363636364,0.792066277546827,0.7869318181818181,cry,276,138,138,46,0.2,5,5,5,40,RandomForestClassifier,None,experiment_2_date_2019-08-25
0.7735795454545454,0.7767254888753108,0.790340909090909,cry,276,138,138,46,0.2,5,5,5,40,GaussianNB,None,experiment_2_date_2019-08-25
0.8073863636363636,0.8084597556153953,0.8181818181818181,cry,276,138,138,46,0.2,5,5,5,40,AdaBoostClassifier,None,experiment_2_date_2019-08-25
0.8573863636363637,0.8597508418747076,0.8755681818181819,cry,276,138,138,46,0.2,5,5,5,40,MLPClassifier,None,experiment_2_date_2019-08-25
0.9508522727272728,0.952160635839461,0.9704545454545455,cry,276,138,138,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_5_date_2019-08-26
0.756534090909091,0.7546888972947061,0.7568181818181818,cry,276,138,138,26,0.2,5,5,5,20,Id3Estimator,None,experiment_5_date_2019-08-26
0.8505681818181818,0.8479386252351044,0.8346590909090909,cry,276,138,138,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_5_date_2019-08-26
0.7781250000000001,0.7692636345714958,0.7431818181818182,cry,276,138,138,26,0.2,5,5,5,20,SVC,None,experiment_5_date_2019-08-26
0.7318181818181819,0.7897271190394495,1.0,cry,276,138,138,26,0.2,5,5,5,20,SVC,None,experiment_5_date_2019-08-26
0.8355113636363637,0.8362611297604463,0.8426136363636364,cry,276,138,138,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_5_date_2019-08-26
0.7988636363636363,0.7975255827694111,0.797159090909091,cry,276,138,138,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_5_date_2019-08-26
0.7889204545454545,0.7803342901716671,0.759090909090909,cry,276,138,138,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_5_date_2019-08-26
0.7647727272727273,0.754946849154944,0.7346590909090909,cry,276,138,138,26,0.2,5,5,5,20,GaussianNB,None,experiment_5_date_2019-08-26
0.8019886363636364,0.8027262172153729,0.8079545454545455,cry,276,138,138,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_5_date_2019-08-26
0.8440340909090909,0.8424536766870817,0.8426136363636363,cry,276,138,138,26,0.2,5,5,5,20,MLPClassifier,None,experiment_5_date_2019-08-26
0.5,0.6666666666666666,1.0,cry,276,138,138,21,0.2,5,5,5,15,Sequential,model_layers=5
0.91875,0.9233380542852165,0.9681818181818181,cry,276,138,138,21,0.2,5,5,5,15,Sequential,model_layers=5,experiment_5_date_2019-08-26
0.947159090909091,0.9480947550098486,0.9619318181818182,cry,276,138,138,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_5_date_2019-08-31
0.953125,0.9554139791881665,0.9734375,cry,100,50,50,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-08-31lev_tests_generic_ignore_scores
0.9703125000000001,0.9704505295429208,0.9729166666666667,cry,150,75,75,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-08-31lev_tests_generic_ignore_scores
