filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,label
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_05.wav,1763.2464280970994,0.09618462456597222,3527.009073893229,0.38725346326828003,279.5650939941406,0.07494577765464783,-279.5650939941406,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_06.wav,1833.894476065674,0.09480116102430555,3860.2254231770835,0.3925049901008606,296.3533020019531,0.048682935535907745,-296.3533020019531,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_07.wav,1950.0181761274553,0.11329707392939815,4065.239461263021,0.3940982222557068,282.6497497558594,0.055754031985998154,-282.6497497558594,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_08.wav,1762.2229976427016,0.10333478009259259,3687.4613444010415,0.36190131306648254,302.90545654296875,0.07730160653591156,-302.90545654296875,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_09.wav,1844.8127671454354,0.10486291956018519,3924.675496419271,0.37816065549850464,284.50006103515625,0.06475536525249481,-284.50006103515625,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_10.wav,1873.2787855150225,0.10744222005208333,3829.4708251953125,0.3785995543003082,274.52252197265625,0.08264777064323425,-274.52252197265625,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_11.wav,2141.448022683511,0.13779251663773148,4231.972249348958,0.35541263222694397,242.47877502441406,0.1298617273569107,-242.47877502441406,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_12.wav,2033.2835477002623,0.1352222583912037,4036.6780598958335,0.3263885974884033,240.25686645507812,0.1625659167766571,-240.25686645507812,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_13.wav,2068.6686533690213,0.10609654017857142,4461.328125,0.4351399838924408,263.8479309082031,0.0634874477982521,-263.8479309082031,Far_miss
353501__inspectorj__ambience-wind-chimes-a_00.wav,3521.3633035390953,0.2615921585648148,5609.3495686848955,0.17999745905399323,353.15716552734375,0.27715757489204407,-353.15716552734375,Far_miss
353501__inspectorj__ambience-wind-chimes-a_01.wav,3036.9871973781856,0.20451750578703703,4860.3729248046875,0.16254283487796783,276.0368347167969,0.2711619436740875,-276.0368347167969,Far_miss
353501__inspectorj__ambience-wind-chimes-a_02.wav,3088.2469819030753,0.24355513961226852,5348.2594807942705,0.21366086602210999,281.6589660644531,0.12529103457927704,-281.6589660644531,Far_miss
353501__inspectorj__ambience-wind-chimes-a_03.wav,3156.6743921050984,0.23118534794560186,5991.3645426432295,0.21312379837036133,276.7230529785156,0.171767920255661,-276.7230529785156,Far_miss
353501__inspectorj__ambience-wind-chimes-a_04.wav,3565.8113354122083,0.2452935112847222,6349.6531168619795,0.21515533328056335,263.2854309082031,0.21727359294891357,-263.2854309082031,Far_miss
353501__inspectorj__ambience-wind-chimes-a_05.wav,3576.7548930860194,0.24877025462962962,6647.578938802083,0.24461905658245087,257.2720642089844,0.2271641343832016,-257.2720642089844,Far_miss
353501__inspectorj__ambience-wind-chimes-a_06.wav,3550.654057800413,0.2636040581597222,5841.080729166667,0.22309210896492004,269.4362487792969,0.2730725109577179,-269.4362487792969,Far_miss
353501__inspectorj__ambience-wind-chimes-a_07.wav,3395.461188743155,0.2368435329861111,5893.318684895833,0.21667736768722534,272.057861328125,0.20836670696735382,-272.057861328125,Far_miss
353501__inspectorj__ambience-wind-chimes-a_08.wav,3426.6081199828736,0.24873408564814814,6276.629638671875,0.20069654285907745,287.3963317871094,0.16197827458381653,-287.3963317871094,Far_miss
353501__inspectorj__ambience-wind-chimes-a_09.wav,3211.0100309237464,0.23336000795717593,5288.7440999348955,0.20843107998371124,291.82305908203125,0.2448785901069641,-291.82305908203125,Far_miss
353501__inspectorj__ambience-wind-chimes-a_10.wav,3013.6825136441043,0.23258463541666666,4776.682535807292,0.2004716694355011,308.2724914550781,0.16831500828266144,-308.2724914550781,Far_miss
353501__inspectorj__ambience-wind-chimes-a_11.wav,2897.935066853156,0.1901787651909722,5056.414794921875,0.22247135639190674,304.6725769042969,0.2255769968032837,-304.6725769042969,Far_miss
353501__inspectorj__ambience-wind-chimes-a_12.wav,2498.4133304840825,0.16016077112268517,4256.695556640625,0.19919826090335846,328.5009765625,0.21127501130104065,-328.5009765625,Far_miss
353501__inspectorj__ambience-wind-chimes-a_13.wav,3194.538355313328,0.2267998589409722,5802.7496337890625,0.21514850854873657,306.85430908203125,0.1539887636899948,-306.85430908203125,Far_miss
353501__inspectorj__ambience-wind-chimes-a_14.wav,3722.5305033051204,0.28807011357060186,7185.609944661458,0.23899365961551666,293.2527770996094,0.11156206578016281,-293.2527770996094,Far_miss
353501__inspectorj__ambience-wind-chimes-a_15.wav,3444.641645050393,0.26743344907407407,6443.0633544921875,0.31296443939208984,300.662841796875,0.05388931557536125,-300.662841796875,Far_miss
353501__inspectorj__ambience-wind-chimes-a_16.wav,3323.3427628037366,0.22294560185185186,6799.10888671875,0.2193208634853363,348.6020812988281,0.03574122488498688,-348.6020812988281,Far_miss
353501__inspectorj__ambience-wind-chimes-a_17.wav,3380.8231771147584,0.2628128616898148,6387.086995442708,0.22808712720870972,388.2917785644531,0.010612229816615582,-388.2917785644531,Far_miss
353501__inspectorj__ambience-wind-chimes-a_18.wav,3021.6153157874846,0.2554660373263889,5737.2528076171875,0.2320614755153656,478.9571838378906,0.0016348465578630567,-478.9571838378906,Far_miss
353501__inspectorj__ambience-wind-chimes-a_19.wav,2018.8611491839092,0.1608005099826389,3253.657023111979,0.28525957465171814,609.4229736328125,0.00014935591025277972,-609.4229736328125,Far_miss
353501__inspectorj__ambience-wind-chimes-a_20.wav,1784.6264953092043,0.1391624168113426,2548.2452392578125,0.3124246597290039,706.8447875976562,2.282590139657259e-05,-706.8447875976562,Far_miss
353501__inspectorj__ambience-wind-chimes-a_21.wav,2000.6535371623552,0.12771041304976852,2901.898193359375,0.351553350687027,777.0454711914062,3.5984398891741876e-06,-777.0454711914062,Far_miss
353501__inspectorj__ambience-wind-chimes-a_22.wav,2658.278199244048,0.13847746672453703,6612.786865234375,0.4218762218952179,839.0474243164062,5.107362426315376e-07,-839.0474243164062,Far_miss
